ID,geo_Breite,geo_Länge,PLZ
1032,51.5120,7.5345,44143
1047,51.0557,13.7274,01067
1048,51.1280,13.7543,01109
1050,51.0221,13.8470,01326
1051,51.0240,13.7737,01219
1052,52.2174,12.1641,39291
1053,51.7337,9.0445,33014
1066,51.5040,10.2613,37115
1072,49.4719,8.1929,67098
1073,49.4686,8.1797,67098
1074,51.3043,12.0810,06231
1076,48.0135,8.5343,78073
1078,51.2960,6.7686,40489
1079,51.1998,6.7574,40221
1084,51.3940,6.7026,47229
1087,51.4634,6.7321,47119
1091,51.2806,10.7362,99713
1093,49.4600,8.9584,69412
1102,48.7201,9.5328,73061
1103,48.1002,11.9872,85560
1106,52.8239,13.7979,16225
1107,49.8520,10.4990,96157
1130,54.6282,9.3649,24852
1146,48.6593,8.9121,71139
1154,48.3416,12.8820,84367
1161,48.8777,11.2349,85072
1169,47.6288,7.5959,79591
1172,51.8189,9.8871,37574
1182,51.5029,11.5705,06295
1188,50.7041,10.8576,98716
1197,48.9895,10.1312,73479
1200,54.0691,9.0105,25704
1201,50.9281,6.5646,50189
1204,53.2346,8.4612,26931
1207,50.2705,12.2742,08645
1214,48.2012,8.1089,79215
1219,53.3449,7.1909,26723
1221,53.3707,7.2236,26725
1224,48.1378,7.8351,79312
1228,54.1651,6.3460,-3
1229,50.3324,7.6975,56132
1238,50.9884,7.4250,51766
1239,47.8516,8.7673,78234
1243,48.4734,9.3028,72813
1246,51.8418,8.0607,59320
1254,49.1307,8.9165,75031
1255,49.1664,8.8523,75031
1262,48.3477,11.8133,85445
1266,54.2992,9.3162,24803
1270,50.9829,10.9608,99092
1275,48.3008,13.1398,94140
1276,47.6358,9.5392,88097
1279,49.6497,11.0074,91096
1280,49.5692,10.9929,91058
1287,49.8589,9.2861,63863
1292,49.7522,11.8222,92676
1297,51.2041,10.0138,37269
1299,53.6476,7.6085,26427
1300,51.2540,8.1565,59889
1303,51.4041,6.9677,45133
1327,50.7119,6.7905,53919
1329,54.1340,10.5865,23701
1332,48.4832,12.7241,84326
1339,52.9157,10.1885,29328
1341,54.6000,11.1500,23769
1345,53.3346,13.4371,17258
1346,47.8749,8.0038,79868
1347,47.8555,8.1155,79868
1357,49.9807,11.8376,95686
1358,50.4283,12.9535,09484
1372,47.4608,10.2696,87538
1374,50.5049,10.1671,97650
1378,54.8086,9.4182,24939
1379,54.7737,9.3752,24941
1380,54.8147,9.4580,24944
1392,49.7317,12.3491,92696
1403,50.0616,9.4550,97833
1410,51.3512,11.0958,06567
1411,50.5309,10.0480,98634
1420,50.0259,8.5213,60549
1421,50.1474,8.6746,60433
1424,50.1269,8.6694,60323
1425,50.1213,8.6601,60323
1426,52.3397,14.5080,15234
1428,49.2275,8.0585,76833
1440,48.2018,7.9336,79348
1441,50.9263,13.2711,09599
1443,48.0233,7.8344,79108
1447,48.0130,7.8588,79104
1451,53.8277,9.2493,21729
1467,48.4607,8.4141,72250
1468,48.4537,8.4091,72250
1473,49.1780,11.3735,92342
1481,47.9216,8.2547,79877
1488,51.6884,11.0394,06507
1490,47.6454,9.4795,88045
1492,47.7819,7.7348,79429
1493,50.4788,11.0159,98749
1503,53.0643,7.9022,26169
1504,51.1190,9.2799,34560
1513,50.6588,8.1027,56479
1515,48.2000,11.2667,82256
1522,49.4811,10.9640,90766
1526,50.5668,9.6533,36039
1544,52.5129,11.3941,39638
1550,47.4831,11.0623,82467
1552,53.2066,14.3817,16307
1568,50.6549,10.7743,98559
1572,50.9593,6.0392,52511
1580,49.9859,7.9549,65366
1583,50.7719,13.7732,01773
1584,47.9242,8.6473,78187
1586,47.8774,12.6279,83278
1587,48.9481,11.4289,85095
1590,51.4942,6.2463,47608
1593,50.2027,9.1989,63571
1602,48.4329,7.9931,77797
1605,52.3875,12.1601,39307
1612,50.8813,12.1289,07546
1617,51.7259,11.1317,06485
1619,49.7622,8.4887,64579
1621,50.2766,9.9146,97779
1623,50.4477,9.9174,36129
1638,50.5910,8.6551,35398
1639,50.6017,8.6439,35435
1645,50.9656,9.0500,34630
1666,54.8273,9.5057,24960
1667,53.7970,9.4295,25348
1684,51.1622,14.9506,02828
1689,49.7656,11.3061,91327
1691,51.5003,9.9506,37083
1694,53.6060,12.1033,19399
1709,50.8500,13.9333,01816
1721,49.6640,11.2239,91322
1735,48.7893,13.6291,94143
1736,53.5731,10.6797,23883
1748,50.4788,9.2620,36355
1757,54.0967,13.4056,17489
1758,54.1000,13.4500,17493
1759,54.2437,13.9102,18586
1761,50.6500,12.2000,07973
1762,50.6249,12.1777,07973
1766,52.1344,7.6969,48268
1803,54.0714,12.3238,18190
1832,49.1128,13.1342,94252
1833,49.0851,13.2801,94227
1834,50.8519,10.4665,99891
1844,47.9410,11.9000,83620
1849,48.8126,11.5728,85098
1863,50.2667,9.1854,63584
1869,53.3153,13.9338,17291
1873,51.7956,10.2380,37539
1875,48.9354,9.7364,74417
1886,48.4878,10.2607,89312
1890,53.7667,12.2167,18273
1891,51.8771,8.3577,33334
1892,51.9298,8.3005,33334
1902,49.1273,10.7448,91710
1920,51.4129,7.4895,58099
1929,51.8597,10.3368,38644
1957,51.5138,11.9499,06120
1960,51.4831,11.9671,06108
1964,49.9445,6.3821,54646
1972,53.4793,10.2415,21465
1973,53.5598,9.9874,20355
1975,53.6332,9.9881,22335
1979,53.4213,10.1462,21037
1981,53.4777,9.8957,21147
1986,53.4699,10.1804,21037
1987,53.5467,9.9662,20359
1990,53.5853,10.1293,22045
1993,52.0848,9.3896,31789
2000,50.1205,8.9243,63450
2005,52.7199,10.5987,29386
2014,52.4644,9.6779,30669
2023,48.7918,10.7062,86655
2039,51.9002,10.5699,38667
2044,51.6520,11.1367,06493
2048,53.6342,9.6038,25489
2053,51.6868,10.8631,38899
2069,48.8629,13.0670,94571
2074,48.3751,8.9801,72379
2078,54.2181,9.0853,25795
2080,49.4206,8.6676,69120
2081,49.3981,8.7251,69117
2083,49.4192,8.6051,69123
2088,48.6765,10.1307,89518
2092,50.1691,7.9949,65321
2095,49.1448,9.2333,74076
2110,51.0411,6.1042,52525
2115,54.1750,7.8920,27498
2120,52.2164,11.0219,38350
2122,53.9701,9.0095,25709
2147,52.1264,8.6865,32049
2151,51.0048,10.1705,37293
2158,48.8042,8.4430,76332
2159,48.5915,8.8541,71083
2160,50.8444,10.6904,99887
2166,51.0167,14.7500,02747
2167,49.7672,7.3356,55758
2171,50.8519,9.7378,36251
2173,51.5890,7.1548,45699
2174,51.6255,10.3695,37412
2201,54.5750,13.1044,18565
2206,52.1408,9.8838,31139
2211,50.7371,7.6528,57612
2221,47.5408,10.4371,87541
2223,50.3674,10.5687,98631
2225,50.9167,14.3667,01855
2226,50.4707,10.9106,98673
2228,47.8983,8.1055,79856
2244,47.7327,8.1627,79862
2250,49.1279,12.8645,94267
2252,50.8990,14.7457,02763
2260,50.3230,11.9077,95028
2261,50.3122,11.8761,95030
2264,51.5337,9.4786,34369
2268,50.1352,10.5156,97461
2289,52.6667,12.3333,14715
2290,47.8009,11.0108,82383
2297,54.1195,9.7127,24594
2302,50.9632,11.4847,99441
2303,54.3146,9.5390,24806
2306,54.3194,10.6732,24321
2315,51.7657,13.1666,04916
2318,50.2182,7.9133,56357
2319,47.8823,11.6962,83607
2323,51.8529,9.4953,37639
2324,51.7659,9.5447,37603
2327,50.7316,9.0032,35315
2331,49.3278,7.3533,66424
2338,52.3333,7.5500,48477
2344,50.1511,11.6980,95236
2349,48.6136,8.2034,77887
2352,47.6227,8.0177,79736
2354,51.4379,14.2426,02977
2360,48.6018,11.6769,85283
2362,50.5651,7.4843,53547
2374,54.4752,9.0564,25813
2385,49.6927,7.3264,55743
2388,48.0419,7.6322,79241
2396,51.8667,10.6833,38871
2406,49.2967,9.6520,74653
2409,48.7662,11.4539,85055
2410,48.7112,11.5362,85077
2417,48.1644,12.0307,84424
2422,51.3768,7.7644,58675
2423,47.6894,10.0416,88316
2429,53.9897,9.5696,25551
2436,52.0547,13.2344,14947
2437,54.4570,9.5203,24878
2444,50.9251,11.5830,07745
2451,51.7954,12.9583,06917
2456,53.5322,7.8806,26419
2464,53.5316,9.6752,21635
2474,50.9104,6.4093,52428
2475,52.0000,13.1009,14913
2477,47.5938,7.9597,79736
2480,50.0643,8.9930,63796
2483,51.1803,8.4891,59955
2485,48.9171,9.6872,73667
2486,49.4262,7.7557,67663
2488,48.7701,10.7876,86687
2494,51.7329,6.2688,47546
2497,50.5014,6.5264,53925
2502,51.3180,10.1348,37308
2503,50.6266,10.1455,36452
2506,51.2667,14.0833,01917
2521,48.6765,11.2961,86668
2522,49.0382,8.3641,76187
2532,51.2963,9.4424,34134
2533,51.3340,9.4506,34128
2536,51.3173,9.4145,34131
2542,47.8652,10.6007,87600
2543,48.0916,10.8609,86916
2546,48.5576,7.8800,77694
2559,47.7233,10.3348,87437
2564,54.3761,10.1433,24159
2565,54.3378,10.0929,24119
2575,49.1804,9.9800,74592
2578,53.9995,11.4341,23999
2597,50.2241,10.0792,97688
2600,49.7363,10.1781,97318
2601,50.2218,8.4469,61479
2609,53.9587,10.3293,23795
2618,50.8458,10.4803,98599
2621,52.4036,13.2319,14532
2627,51.5555,13.8845,01994
2629,51.7612,6.0954,47533
2638,48.1054,8.7549,78588
2641,51.5185,12.9065,04862
2654,49.0265,8.7554,75438
2657,50.3369,7.5992,56076
2665,50.9615,6.9712,50735
2667,50.8646,7.1575,53842
2677,48.1413,8.4285,78126
2680,50.2840,10.4456,97631
2689,53.2279,9.6527,21255
2691,48.6707,11.2173,86669
2693,50.1855,8.4698,61462
2700,48.8302,11.4872,85092
2701,51.1329,11.7252,06628
2703,51.8550,9.3239,32676
2704,51.7511,12.0094,06366
2708,47.6652,11.0804,82433
2712,47.6774,9.1901,78464
2713,47.6605,9.1634,78462
2717,51.2662,8.8309,34497
2738,47.6447,11.7436,83708
2750,50.2523,11.3209,96317
2757,47.9077,7.7020,79189
2761,48.2510,10.4163,86381
2770,53.9015,10.2359,23829
2773,49.4283,11.9016,92245
2775,49.2795,9.6925,74653
2780,50.1003,11.4494,95326
2783,48.5126,12.1513,84036
2790,49.5592,7.4134,66869
2794,52.9363,12.4093,16866
2796,53.9156,12.2790,18299
2812,48.3647,7.8280,77933
2814,48.5121,9.7645,89188
2821,51.9603,10.0157,31195
2829,48.0772,10.9144,86929
2830,48.0349,10.8709,86899
2831,48.5357,12.1132,84034
2843,50.0075,8.6547,63225
2856,51.9173,13.0878,14913
2857,51.1173,10.6568,99947
2861,53.7445,7.4775,26465
2872,52.8457,7.3489,49762
2878,51.3910,11.8788,06246
2879,49.5781,9.7142,97922
2886,48.2176,9.9097,88471
2889,51.6323,10.4737,37431
2905,48.1849,10.8507,86836
2906,54.7750,8.9808,25917
2907,54.7903,8.9514,25917
2912,54.7419,9.8791,24395
2915,50.4833,11.4500,07349
2920,48.7654,12.5121,94339
2923,47.9116,10.6124,87666
